id,censored,time,how_end,sex,race,age,education,parent
4551,FALSE,16.5,Divorced,Male,White or Other,24.666666666666668,High school,FALSE
4553,TRUE,16.166666666666668,Censored,Female,White or Other,25.25,High school,FALSE
4554,TRUE,11.916666666666666,Censored,Female,White or Other,29.833333333333332,Less than high school,TRUE
4556,TRUE,5.333333333333333,Censored,Female,White or Other,36.166666666666664,High school,FALSE
4558,TRUE,9.666666666666666,Censored,Female,White or Other,31.166666666666668,High school,TRUE
4561,TRUE,21,Censored,Female,White or Other,20.5,High school,FALSE
4562,TRUE,8.25,Censored,Male,White or Other,30.416666666666668,High school,FALSE
4564,TRUE,8.416666666666666,Censored,Male,White or Other,30.583333333333332,High school,FALSE
4568,TRUE,6.583333333333333,Censored,Female,White or Other,34.666666666666664,College,FALSE
4573,TRUE,1.4166666666666667,Censored,Male,White or Other,39.75,High school,FALSE
4574,TRUE,7.833333333333333,Censored,Male,White or Other,33.416666666666664,College,FALSE
4577,TRUE,8.5,Censored,Male,White or Other,32.166666666666664,College,FALSE
4578,TRUE,17.5,Censored,Female,White or Other,23.75,High school,FALSE
4579,TRUE,18.166666666666668,Censored,Female,White or Other,23.166666666666668,High school,TRUE
4581,TRUE,14.416666666666666,Censored,Female,White or Other,27.166666666666668,High school,FALSE
4583,FALSE,8.166666666666666,Divorced,Female,White or Other,22.5,High school,FALSE
4584,TRUE,8.666666666666666,Censored,Female,White or Other,32.833333333333336,College,FALSE
4585,TRUE,8.333333333333334,Censored,Male,White or Other,33.166666666666664,High school,FALSE
4588,TRUE,16.583333333333332,Censored,Female,White or Other,24.416666666666668,High school,FALSE
4591,TRUE,4.833333333333333,Censored,Male,White or Other,36.166666666666664,High school,TRUE
4592,FALSE,4,Divorced,Male,Hispanic,27.333333333333332,High school,FALSE
4593,FALSE,9.5,Divorced,Female,White or Other,24.75,High school,TRUE
4594,FALSE,5,Divorced,Female,White or Other,23.916666666666668,High school,FALSE
4595,TRUE,2.5833333333333335,Censored,Female,White or Other,38.333333333333336,High school,FALSE
4599,FALSE,13.333333333333334,Divorced,Female,White or Other,21.916666666666668,High school,FALSE
4600,TRUE,11.25,Censored,Male,White or Other,30.333333333333332,College,FALSE
4601,TRUE,16.916666666666668,Censored,Female,White or Other,24.083333333333332,College,FALSE
4603,TRUE,8.25,Censored,Female,White or Other,32.583333333333336,High school,FALSE
4604,TRUE,3.4166666666666665,Censored,Male,White or Other,21.75,High school,FALSE
